listingID,flightNumber,departureTime,arrivalTime,departureAirport,arrivalAirport,aircraftID
139,DL5690,4:25:08,15:08:47,HND,SYD,4
97,DL4380,11:38:53,15:12:57,ATL,ORD,8
1,DL2670,4:54:22,23:27:16,CDG,JFK,1
46,B16107,23:34:05,8:12:53,LHR,SYD,4
137,AA100,20:03:28,17:17:23,SIN,LAX,3
107,BA456,15:01:48,1:01:18,HND,LAX,3
61,LH789,6:18:47,14:37:20,DFW,CDG,8
68,AF001,12:32:49,22:43:23,ATL,ATL,1
51,CX888,6:19:47,21:09:30,DFW,CDG,9
22,SQ777,21:08:32,9:19:18,HND,DFW,3
45,FL339,18:17:39,21:07:52,SIN,JFK,6
5,FL899,12:13:02,2:02:29,LHR,SIN,10
100,FL146,8:21:42,21:53:26,HND,ORD,9
27,FL864,17:45:24,5:31:52,JFK,HND,10
8,FL680,21:04:26,19:09:52,CDG,LAX,6
13,FL191,6:53:28,21:07:12,LHR,SIN,2
113,FL258,6:36:41,22:29:06,DFW,CDG,3
71,FL432,11:46:46,21:55:03,CDG,CDG,2
39,FL355,15:34:33,19:44:32,ATL,ATL,8
133,FL785,5:50:25,9:18:25,HND,CDG,10
56,FL903,6:07:46,11:29:22,JFK,ATL,9
136,FL675,19:17:01,3:22:45,CDG,HND,5
88,FL694,13:09:58,19:20:33,LAX,SYD,5
75,FL466,4:57:26,14:54:34,DFW,ORD,2
36,FL400,23:46:42,10:28:37,DFW,LAX,5
76,FL808,2:35:24,4:37:07,DFW,LAX,9
129,FL540,2:26:22,6:04:48,CDG,ATL,3
92,FL966,10:50:03,20:27:32,ATL,ORD,7
132,FL802,10:34:16,15:52:51,ATL,CDG,1
116,FL254,18:42:51,3:28:11,LAX,HND,4
85,FL985,22:15:33,16:11:50,LAX,ORD,1
128,FL740,18:11:02,18:31:42,DFW,HND,6
122,FL517,9:33:58,4:35:21,SYD,DFW,10
41,FL175,5:09:27,1:40:06,ORD,HND,9
94,FL693,2:09:09,16:32:03,SYD,SYD,9
77,FL379,15:44:31,10:52:12,SYD,ATL,7
83,FL611,20:56:40,9:58:05,LHR,ORD,4
102,FL182,19:13:41,1:58:05,LHR,ATL,3
86,FL723,12:28:15,22:34:04,LAX,JFK,4
142,FL934,17:34:17,1:29:34,HND,SIN,9
118,FL406,8:51:46,22:48:09,LHR,HND,6
105,FL943,20:26:42,1:30:00,CDG,ATL,6
74,FL718,21:03:56,12:38:22,LAX,LHR,8
79,FL913,20:10:54,2:39:17,SIN,LHR,8
145,FL630,15:41:54,7:19:28,SIN,LHR,5
111,FL303,8:54:22,13:15:09,JFK,HND,1
144,FL329,16:30:05,19:27:52,ATL,CDG,7
115,FL952,0:37:19,17:08:56,SIN,LAX,10
60,FL291,14:57:09,5:11:03,ORD,SYD,7
9,FL383,10:32:36,10:09:57,LAX,CDG,1
